HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
-0.03283425;-0.3620849;3.357092;0.09566362;-0.3244339;3.543416;-0.08974762;-0.4261017;3.537049;-0.1959072;-0.373804;3.335565;-0.3024391;-0.3208335;3.558693;
-0.03285012;-0.3620183;3.34846;0.09429808;-0.3250324;3.542159;-0.08990183;-0.4255632;3.537813;-0.196063;-0.3725911;3.334943;-0.3008256;-0.3218784;3.55625;
-0.03519084;-0.3625428;3.350138;0.09427395;-0.3249616;3.542174;-0.09004401;-0.4254699;3.538128;-0.1997382;-0.3712083;3.34016;-0.3008783;-0.3219637;3.556358;
-0.03670716;-0.3619692;3.348199;0.09473237;-0.3259851;3.542427;-0.08996637;-0.4255205;3.538134;-0.1993587;-0.3705563;3.337963;-0.301646;-0.3216078;3.556705;
-0.03537466;-0.3618249;3.348315;0.09549718;-0.3285904;3.544491;-0.0903808;-0.4266301;3.53811;-0.2010286;-0.3713313;3.340864;-0.3009309;-0.3220017;3.555006;
-0.1092462;-0.3528745;3.288514;0.09454165;-0.3284359;3.544146;-0.09020086;-0.4267437;3.538205;-0.2009207;-0.3713729;3.340685;-0.3023254;-0.3201756;3.557903;
-0.03892085;-0.3585218;3.352191;0.09287107;-0.3310069;3.54182;-0.09002889;-0.4265916;3.538649;-0.1874048;-0.379029;3.312105;-0.3033862;-0.3206919;3.561305;
-0.03345615;-0.3651352;3.332164;0.0943261;-0.3325837;3.542948;-0.09008309;-0.4268388;3.539006;-0.2078505;-0.3731216;3.354048;-0.3036565;-0.320311;3.561215;
-0.1230752;-0.3589725;3.284778;0.09429606;-0.3324963;3.543347;-0.08996475;-0.4269265;3.538887;-0.2079316;-0.3711803;3.350782;-0.3043107;-0.325478;3.56093;
-0.04856889;-0.4005207;3.311057;0.09439063;-0.3321559;3.543493;-0.08988462;-0.4268459;3.539153;-0.208336;-0.3730626;3.351818;-0.3020189;-0.3236012;3.559772;
-0.06974059;-0.3673076;3.330076;0.09451202;-0.3302879;3.542456;-0.08984351;-0.4278986;3.539022;-0.1987439;-0.3748437;3.341766;-0.3016979;-0.3238891;3.558669;
-0.04065963;-0.3624408;3.356509;0.09454949;-0.329966;3.542343;-0.08987059;-0.42783;3.539062;-0.1978732;-0.3702857;3.323346;-0.3007741;-0.3248361;3.555882;
-0.04043748;-0.3604456;3.361295;0.09381832;-0.3281634;3.54215;-0.0899987;-0.4282879;3.539385;-0.1952298;-0.3696402;3.329608;-0.3008957;-0.3248423;3.556294;
-0.03899679;-0.3607309;3.362889;0.09388401;-0.3282087;3.542112;-0.09019975;-0.4281639;3.539666;-0.1940881;-0.3698581;3.329687;-0.3009616;-0.3223018;3.557981;
-0.0550091;-0.3869243;3.317977;0.09400401;-0.3276576;3.542438;-0.09010268;-0.4280514;3.539879;-0.1941215;-0.3698925;3.329931;-0.3021832;-0.3207067;3.5599;
-0.03696661;-0.3609214;3.354514;0.09428315;-0.3277827;3.542722;-0.08998994;-0.4280355;3.539524;-0.192362;-0.3697307;3.327436;-0.301201;-0.3195748;3.558616;
-0.06445037;-0.3674443;3.32488;0.09423584;-0.3271744;3.542567;-0.08987711;-0.4284692;3.539648;-0.1912522;-0.3706475;3.326161;-0.3011838;-0.3195272;3.558591;
-0.01398994;-0.3930459;3.307507;0.09409861;-0.3262761;3.542566;-0.08997183;-0.4283735;3.539654;-0.1914273;-0.3718949;3.33026;-0.3013827;-0.3195977;3.558731;
-0.03968147;-0.3606895;3.362509;0.09192949;-0.3325563;3.537227;-0.08995964;-0.4283144;3.539674;-0.2068034;-0.3726336;3.349243;-0.3009735;-0.3220825;3.556308;
-0.0229308;-0.4138223;3.316606;0.09190862;-0.3299972;3.538318;-0.08941196;-0.42832;3.539138;-0.1970727;-0.3683329;3.333819;-0.3012708;-0.321771;3.556956;
-0.03658509;-0.362727;3.359689;0.09193163;-0.3281386;3.539658;-0.08914126;-0.4284829;3.539045;-0.1944264;-0.372817;3.330584;-0.3014932;-0.3214321;3.557002;
-0.03655906;-0.3619823;3.354255;0.09552436;-0.3262528;3.541209;-0.08910234;-0.4284208;3.538987;-0.1957906;-0.3710315;3.331282;-0.3013764;-0.3212939;3.55625;
-0.0499312;-0.385688;3.310373;0.09567536;-0.3258251;3.541469;-0.0892093;-0.4286692;3.538024;-0.1963406;-0.3700863;3.334692;-0.3014378;-0.3214702;3.555034;
-0.03383842;-0.3681872;3.351385;0.09450582;-0.3255715;3.541303;-0.08925505;-0.4287372;3.537951;-0.1971676;-0.3693988;3.338585;-0.301298;-0.3212705;3.5546;
-0.02853282;-0.372076;3.347617;0.09394731;-0.3243691;3.54337;-0.08917479;-0.428511;3.537803;-0.1985026;-0.3683457;3.341225;-0.3019198;-0.3195853;3.556855;
-0.03388422;-0.3688119;3.339691;0.09402277;-0.3243315;3.54331;-0.08907816;-0.428561;3.537704;-0.1951257;-0.3677564;3.339113;-0.302203;-0.3192348;3.556917;
-0.04417588;-0.3983882;3.313242;0.09355213;-0.3231462;3.542668;-0.08928416;-0.4283947;3.537733;-0.1996532;-0.3666654;3.341287;-0.3021277;-0.3192063;3.556886;
-0.03467779;-0.369638;3.349088;0.09427062;-0.3230369;3.543509;-0.08902717;-0.4278944;3.537742;-0.200778;-0.3677187;3.347965;-0.3018195;-0.318999;3.557042;
-0.03547565;-0.3659437;3.344875;0.0936604;-0.3245838;3.53992;-0.08910538;-0.4276902;3.537293;-0.1986222;-0.368957;3.345335;-0.3017063;-0.3204266;3.554311;
-0.03574626;-0.3659796;3.345096;0.09401991;-0.3251066;3.539299;-0.08910043;-0.4276904;3.53728;-0.202739;-0.3681949;3.351072;-0.3013467;-0.3202401;3.554043;
-0.03573631;-0.365541;3.345254;0.09473456;-0.3240198;3.541151;-0.08912507;-0.4275319;3.537617;-0.1954527;-0.3676723;3.332823;-0.3003186;-0.3192545;3.554704;
-0.03772691;-0.3647418;3.335289;0.09460016;-0.3252115;3.539851;-0.08917638;-0.4286473;3.53731;-0.1949953;-0.3677753;3.333191;-0.299543;-0.3215021;3.552151;
-0.0358017;-0.3658286;3.343201;0.09610956;-0.3244167;3.543592;-0.08938303;-0.428432;3.537547;-0.1953926;-0.3672542;3.33366;-0.3011547;-0.3184583;3.554066;
-0.05318537;-0.3885406;3.311091;0.09600727;-0.3243942;3.543807;-0.0893328;-0.4284059;3.53738;-0.1949708;-0.367136;3.332726;-0.3006434;-0.3178412;3.5553;
-0.0383706;-0.365013;3.350899;0.09591395;-0.3244953;3.543675;-0.08938225;-0.4283756;3.537494;-0.1964527;-0.3672132;3.333696;-0.3009752;-0.3158962;3.55619;
-0.03614762;-0.3675158;3.351702;0.09534658;-0.32542;3.542957;-0.08935098;-0.428376;3.537578;-0.1963559;-0.3667646;3.333586;-0.3006881;-0.3156287;3.557068;
-0.02043476;-0.410722;3.302831;0.09539568;-0.3253284;3.542589;-0.08934301;-0.4281572;3.5374;-0.1960554;-0.3678164;3.332618;-0.3000219;-0.3167672;3.557239;
-0.02117135;-0.3716883;3.350564;0.09562708;-0.3246747;3.54305;-0.08940639;-0.4282593;3.537336;-0.1960536;-0.3677908;3.33252;-0.2995243;-0.3173785;3.554814;
-0.07644058;-0.3514714;3.290905;0.09484981;-0.3223027;3.544407;-0.08984335;-0.4277611;3.537591;-0.1961097;-0.3671543;3.335823;-0.2998053;-0.3182295;3.554864;
-0.006757796;-0.3943642;3.304568;0.09541802;-0.3229951;3.544625;-0.08977126;-0.4275564;3.537768;-0.1936921;-0.3677147;3.340099;-0.3005813;-0.3180721;3.555623;
-0.007532001;-0.3965645;3.304645;0.09519731;-0.323772;3.543709;-0.09018959;-0.4276499;3.538379;-0.1926845;-0.3682627;3.333054;-0.3003764;-0.3188189;3.555823;
-0.03568988;-0.3634491;3.363004;0.09526177;-0.3237102;3.543762;-0.09017085;-0.4277245;3.538467;-0.1941902;-0.3748025;3.353491;-0.3003097;-0.3189055;3.556056;
-0.04595387;-0.3969335;3.315104;0.09479536;-0.3227857;3.543803;-0.09015729;-0.4277174;3.538503;-0.1927663;-0.3733118;3.346391;-0.3006919;-0.318342;3.557664;
-0.09781511;-0.3582344;3.349158;0.09432304;-0.3221728;3.543648;-0.09024854;-0.4278061;3.539233;-0.1923438;-0.3727422;3.345803;-0.3005714;-0.3179965;3.558123;
-0.1754152;-0.3536501;3.330558;0.09239504;-0.3255064;3.542708;-0.09019963;-0.4278303;3.539294;-0.1532658;-0.4069058;3.253387;-0.3005072;-0.3175206;3.558057;
