HandRight.X;HandRight.Y;HandRight.Z;Head.X;Head.Y;Head.Z;
0.1846512;0.3134674;3.764285;-0.1932185;0.1870112;3.824535;
0.1845389;0.3157278;3.766061;-0.1932929;0.1875265;3.825865;
0.1845565;0.3172268;3.767126;-0.1922915;0.1854072;3.825942;
0.1931581;0.315697;3.734438;-0.1906105;0.1873169;3.826486;
0.1906226;0.3175368;3.742042;-0.1908296;0.1874025;3.82731;
0.2209197;0.2740124;3.713336;-0.1908287;0.1879071;3.827553;
0.1811569;0.249485;3.723313;-0.1910822;0.1868415;3.827434;
0.1872898;0.3112663;3.758928;-0.1909942;0.1837958;3.82653;
0.1949466;0.3124777;3.764349;-0.1906229;0.1849229;3.830997;
0.1909283;0.3090839;3.744099;-0.1904061;0.1858637;3.831802;
0.2129682;0.2848686;3.705492;-0.1904576;0.1858001;3.831953;
0.1794278;0.248431;3.705418;-0.1898753;0.1861044;3.832287;
0.1882824;0.3142219;3.767677;-0.1903901;0.1863567;3.826616;
0.1898021;0.3157077;3.762379;-0.1899369;0.1862829;3.822884;
0.1971289;0.3141216;3.746261;-0.1896805;0.1860803;3.822706;
0.1900121;0.3165607;3.768339;-0.1884551;0.1850562;3.8325;
0.1905283;0.3171975;3.759429;-0.1892331;0.184254;3.835047;
0.1907736;0.3175366;3.758376;-0.18904;0.1843816;3.835028;
0.1905426;0.3177522;3.756086;-0.1900864;0.1851576;3.835743;
0.1901336;0.313549;3.754061;-0.1887729;0.1848664;3.838197;
0.1897346;0.314508;3.757799;-0.1883446;0.1861247;3.836607;
0.2009998;0.3141224;3.734451;-0.190329;0.1883008;3.841257;
0.1932433;0.3110703;3.729786;-0.1892551;0.1886516;3.838776;
0.20059;0.3127982;3.723907;-0.1893706;0.1884509;3.839008;
0.1786494;0.2485503;3.696003;-0.1902576;0.1887557;3.836599;
0.1788365;0.2481163;3.70329;-0.1906628;0.186175;3.836892;
0.213038;0.2955763;3.732398;-0.1910539;0.1865837;3.840881;
