HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
-0.02207127;-0.1069011;3.395199;-0.1505965;-0.452244;3.664081;0.01984826;-0.3267636;3.589684;;;;;
-0.02122547;-0.106022;3.395115;-0.1505168;-0.451883;3.664171;0.02345659;-0.3272845;3.593669;;;;;
-0.01973157;-0.1093453;3.39182;-0.1507923;-0.4520274;3.664255;0.02936229;-0.3201907;3.601297;;;;;
-0.0204149;-0.1045775;3.39282;-0.1507722;-0.4520589;3.664216;0.03142357;-0.3167409;3.588564;;;;;
-0.02027375;-0.1065558;3.395151;-0.1509467;-0.450992;3.664347;0.03049168;-0.320564;3.591043;;;;;
-0.01966504;-0.1051496;3.401404;-0.1507386;-0.4505523;3.664172;0.02806614;-0.3275514;3.591085;;;;;
-0.0249904;-0.1364801;3.425155;-0.1506017;-0.4500504;3.664467;0.02632504;-0.3344416;3.588481;;;;;
-0.02683276;-0.1111952;3.396086;-0.1506061;-0.4502037;3.664445;0.02607543;-0.3305263;3.588195;;;;;
-0.02844306;-0.1112245;3.394076;-0.1492904;-0.4389343;3.665954;0.02615275;-0.330313;3.588237;;;;;
-0.03002065;-0.1127604;3.392585;-0.1496015;-0.4410574;3.665929;0.02623254;-0.3297549;3.588641;;;;;
-0.03063605;-0.1128838;3.391489;-0.1492532;-0.444747;3.665107;0.03314126;-0.3359868;3.581567;;;;;
-0.03221029;-0.1135516;3.392193;-0.1491525;-0.4448391;3.665265;0.0303415;-0.3341936;3.59348;;;;;
-0.02214766;-0.1492507;3.44086;-0.149332;-0.4450658;3.665329;0.02409094;-0.3337584;3.588093;;;;;
-0.02442964;-0.1480513;3.441267;-0.1494848;-0.446216;3.665328;0.03127244;-0.3318369;3.579364;;;;;
-0.03572998;-0.09912288;3.386472;-0.1494455;-0.4494853;3.664881;0.02569567;-0.3352613;3.590574;;;;;
-0.03566974;-0.1009221;3.389664;-0.1495813;-0.4496225;3.664982;0.02575654;-0.33249;3.587074;;;;;
-0.03549144;-0.1022696;3.391371;-0.1490996;-0.451715;3.664824;0.02393519;-0.3322588;3.585206;;;;;
-0.03562602;-0.1010748;3.389847;-0.1495441;-0.450881;3.665039;0.02545647;-0.3333934;3.58811;;;;;
-0.02620941;-0.1566214;3.439015;-0.1495385;-0.4508972;3.665071;0.02529434;-0.3342836;3.592405;;;;;
-0.02858357;-0.15203;3.439107;-0.1497054;-0.4519052;3.664832;0.02240867;-0.3358929;3.591248;;;;;
-0.03037417;-0.149548;3.443736;-0.1496887;-0.4507397;3.665028;0.02211739;-0.3395714;3.596746;;;;;
-0.02881759;-0.1494967;3.446367;-0.150193;-0.4499267;3.664981;0.02237055;-0.3367251;3.595448;;;;;
-0.02852111;-0.1495254;3.446392;-0.1501751;-0.4499166;3.664892;0.02549176;-0.3332152;3.598682;;;;;
-0.03229479;-0.08328721;3.432686;-0.1502208;-0.4497907;3.665017;0.01784106;-0.3336865;3.579781;;;;;
-0.02557181;-0.1533464;3.435793;-0.1505233;-0.4492249;3.665071;0.01929293;-0.3306866;3.579628;;;;;
-0.02715058;-0.1502512;3.435095;-0.1503278;-0.451224;3.66542;0.02483692;-0.3283677;3.590604;;;;;
-0.02670357;-0.1506575;3.435191;-0.1506162;-0.4510244;3.665418;0.03455975;-0.324542;3.592239;;;;;
-0.04136274;-0.1090177;3.399495;-0.1505232;-0.4505456;3.665167;0.03255352;-0.3207058;3.595637;;;;;
-0.00465451;-0.1488667;3.390208;-0.1505989;-0.4500116;3.665571;0.0219735;-0.3436445;3.588603;;;;;
-0.00376842;-0.1471016;3.390372;-0.150494;-0.4497938;3.66546;0.0220231;-0.3427251;3.587417;;;;;
-0.01128943;-0.1174862;3.372317;-0.1504041;-0.4504665;3.665377;0.02115114;-0.3170193;3.559931;;;;;
-0.02237994;-0.1502208;3.426417;-0.1504158;-0.4504436;3.665143;0.02325773;-0.3238822;3.581441;;;;;
-0.03227866;-0.1262856;3.401912;-0.1503683;-0.450415;3.665192;0.02055724;-0.3404211;3.597073;;;;;
-0.02792788;-0.1437664;3.425646;-0.1516911;-0.4491278;3.664842;0.03254161;-0.3130765;3.579021;;;;;
-0.0282752;-0.1166622;3.399421;-0.151364;-0.4531464;3.663305;0.03209817;-0.3307892;3.590863;;;;;
-0.02779844;-0.1465291;3.437034;-0.151043;-0.453346;3.663174;0.02643077;-0.3358363;3.590791;;;;;
-0.02855863;-0.1457875;3.437046;-0.1510442;-0.4527602;3.66378;0.02343542;-0.3350653;3.586348;;;;;
-0.02785723;-0.1086161;3.386691;-0.1507287;-0.45125;3.664221;0.02418491;-0.3361765;3.588132;;;;;
-0.02909409;-0.1074349;3.387064;-0.1506909;-0.4511563;3.664196;0.02269499;-0.336786;3.587972;;;;;
-0.03044016;-0.1056549;3.387664;-0.1507703;-0.4506656;3.664505;0.0190821;-0.3445963;3.589402;;;;;
-0.03340618;-0.15402;3.457964;-0.1515028;-0.4495098;3.66482;0.02001109;-0.3416378;3.591308;;;;;
-0.03351272;-0.1563903;3.451567;-0.1502741;-0.4440913;3.664856;0.02451852;-0.3360588;3.59549;;;;;
-0.03289524;-0.1567407;3.450704;-0.1505172;-0.4444392;3.664781;0.02398651;-0.3376955;3.594951;;;;;
-0.03001329;-0.1563916;3.447981;-0.1506408;-0.444816;3.664514;0.02153198;-0.3373134;3.590846;;;;;
