HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
0.06714872;-0.3254229;3.582818;-0.05854102;-0.4173295;3.645762;0.1672309;-0.3071352;3.805905;;;;;
0.1428006;-0.4070652;3.57047;-0.0585482;-0.4173459;3.645855;0.1721916;-0.2826266;3.83832;;;;;
0.1395488;-0.3170965;3.601583;-0.05873752;-0.4172547;3.645923;0.1713605;-0.2878895;3.837222;;;;;
0.1399354;-0.3191574;3.600245;-0.05885358;-0.417289;3.645778;0.1717319;-0.289634;3.836392;;;;;
0.1354133;-0.3164203;3.5852;-0.05850675;-0.4166151;3.645608;0.1674937;-0.2869492;3.822721;;;;;
0.1194174;-0.3309995;3.546551;-0.05873829;-0.4165704;3.645637;0.1750325;-0.2915298;3.832124;;;;;
0.1164274;-0.3289969;3.536238;-0.05872825;-0.4166373;3.645543;0.1750114;-0.2915567;3.83191;;;;;
0.1135684;-0.3179117;3.526029;-0.0586357;-0.4164609;3.645673;0.1741901;-0.2846185;3.828024;;;;;
0.1124533;-0.339168;3.517384;-0.05872357;-0.416447;3.645662;0.1738264;-0.3035143;3.821469;;;;;
0.1109668;-0.3385141;3.506724;-0.05883623;-0.416457;3.645742;0.1725097;-0.3032714;3.811118;;;;;
0.1110728;-0.3362817;3.520477;-0.05863658;-0.4159434;3.646201;0.170616;-0.3041295;3.813709;;;;;
0.1139606;-0.339949;3.521022;-0.05881032;-0.4160254;3.646376;0.1719436;-0.3097675;3.812656;;;;;
0.1010475;-0.3354152;3.586697;-0.05858649;-0.4154801;3.646472;0.1701687;-0.2980756;3.816451;;;;;
0.09166553;-0.3253747;3.557333;-0.0585869;-0.415636;3.646446;0.1704811;-0.2968386;3.81794;;;;;
0.09335499;-0.3229154;3.553772;-0.05926217;-0.4169707;3.645598;0.1706706;-0.2950476;3.818017;;;;;
0.09102965;-0.3187577;3.550618;-0.05941036;-0.4170856;3.645384;0.1710002;-0.2907541;3.821353;;;;;
0.08702311;-0.3214903;3.537587;-0.05931318;-0.4159286;3.645661;0.1703895;-0.2919398;3.81833;;;;;
0.08687191;-0.3197033;3.541867;-0.05944822;-0.4164448;3.645694;0.1708613;-0.290206;3.824355;;;;;
0.08545933;-0.3222811;3.53336;-0.05953233;-0.4166487;3.645868;0.1707227;-0.2882719;3.823517;;;;;
0.07986645;-0.3613231;3.511246;-0.05953767;-0.4166768;3.645983;0.1676728;-0.3086585;3.813388;;;;;
0.08956745;-0.3337366;3.577636;-0.05950358;-0.4166001;3.646071;0.1699264;-0.265087;3.850734;;;;;
0.09003893;-0.3447715;3.55531;-0.0595173;-0.4163247;3.645973;0.172446;-0.2678211;3.841282;;;;;
0.0782219;-0.3240602;3.585225;-0.05946566;-0.416393;3.645998;0.1738347;-0.3170435;3.827218;;;;;
0.06930487;-0.2973996;3.597393;-0.05963679;-0.4164638;3.645604;0.1671492;-0.2956112;3.83498;;;;;
0.06900011;-0.3002835;3.590511;-0.05966426;-0.4162838;3.645863;0.1666586;-0.2975338;3.828443;;;;;
0.03137094;-0.3401888;3.567572;-0.05994229;-0.4164284;3.645802;0.1661749;-0.2959155;3.828021;;;;;
0.1465058;-0.4144195;3.593935;-0.06008336;-0.4156346;3.646313;0.1666794;-0.2934648;3.827119;;;;;
0.1582556;-0.4160914;3.588646;-0.06027932;-0.4154222;3.64655;0.1654098;-0.2991748;3.812991;;;;;
0.1560751;-0.4182178;3.592129;-0.06041649;-0.415529;3.646048;0.1657844;-0.3025274;3.812898;;;;;
0.1578293;-0.4218285;3.592713;-0.06007335;-0.4159189;3.646051;0.1703296;-0.2943119;3.81822;;;;;
0.07900295;-0.4425972;3.57518;-0.05986224;-0.4161229;3.645894;0.1687942;-0.2969785;3.816356;;;;;
0.05908007;-0.4579202;3.529659;-0.0596727;-0.4161059;3.645894;0.1462268;-0.3081941;3.769162;;;;;
0.05110466;-0.4452536;3.576148;-0.05976041;-0.4162602;3.645895;0.1603437;-0.2893584;3.831407;;;;;
0.05222409;-0.44303;3.577241;-0.0596099;-0.4170223;3.645628;0.1622289;-0.2924255;3.830322;;;;;
0.05267288;-0.4417627;3.577636;-0.05964085;-0.4170723;3.645577;0.1627294;-0.2936796;3.829511;;;;;
0.05502407;-0.435101;3.577603;-0.05934027;-0.4173487;3.645478;0.1636441;-0.2927026;3.828575;;;;;
