HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.08605517;-0.6020551;3.258392;-0.1107728;-0.4042957;3.50251;0.07801916;-0.3690478;3.514036;
0.08289043;-0.5629098;3.293379;-0.1108301;-0.4043562;3.502504;0.07744226;-0.3688482;3.512904;
0.07436227;-0.5728998;3.311918;-0.1108022;-0.4043189;3.502489;0.07799253;-0.3676831;3.51393;
0.07497562;-0.5727687;3.310096;-0.1108279;-0.4044316;3.502583;0.07836986;-0.3670354;3.514526;
0.07477799;-0.572891;3.310191;-0.110866;-0.4046514;3.502381;0.0784236;-0.3670568;3.51471;
0.07466105;-0.5787121;3.303437;-0.1110293;-0.4047219;3.502443;0.07889798;-0.3685064;3.513483;
0.07550953;-0.596076;3.284889;-0.1110405;-0.4049087;3.502489;0.07910349;-0.3684876;3.513194;
0.07567927;-0.5957965;3.288802;-0.1108556;-0.4054801;3.502345;0.07904693;-0.3684927;3.513182;
0.07792041;-0.5851898;3.283279;-0.1101712;-0.4050395;3.502483;0.07900633;-0.3683602;3.513273;
0.07593042;-0.5885819;3.283148;-0.1100832;-0.4051762;3.502458;0.07883136;-0.3683746;3.513391;
0.07541981;-0.5910317;3.285303;-0.1102143;-0.4050202;3.502376;0.07898241;-0.3684354;3.513259;
0.07498345;-0.5705256;3.304154;-0.1101528;-0.4049505;3.502115;0.07939285;-0.366888;3.511683;
0.07754749;-0.5745183;3.279272;-0.110181;-0.404885;3.502091;0.07952449;-0.3665567;3.511605;
0.07967507;-0.5730475;3.279522;-0.1101376;-0.405092;3.502164;0.07887479;-0.3695375;3.508044;
0.07569946;-0.5678326;3.303105;-0.1101042;-0.4050724;3.502122;0.07917386;-0.3715177;3.507648;
0.07984322;-0.5669661;3.29467;-0.1099887;-0.4051996;3.501917;0.07968252;-0.3708621;3.508274;
0.07996055;-0.5693123;3.295605;-0.1099268;-0.4051277;3.501788;0.08006152;-0.3704983;3.508155;
0.08162498;-0.5619404;3.311364;-0.1099232;-0.4048872;3.501749;0.07989726;-0.3710352;3.507375;
0.07947058;-0.5623758;3.311798;-0.1100179;-0.4050404;3.501569;0.07965551;-0.3713473;3.508062;
0.08247618;-0.5638287;3.290977;-0.1100019;-0.4049712;3.501403;0.07997864;-0.372722;3.508471;
0.08027564;-0.5632132;3.295349;-0.1100023;-0.4050247;3.501352;0.0799447;-0.372338;3.508601;
0.0784082;-0.5694797;3.310147;-0.1099997;-0.4050239;3.501351;0.08011888;-0.3717123;3.509155;
0.0828613;-0.6150179;3.266037;-0.1098938;-0.4050343;3.501355;0.0804252;-0.369961;3.509524;
0.0784336;-0.5664607;3.306035;-0.1098913;-0.4050536;3.501257;0.08046015;-0.3694946;3.509466;
0.07776333;-0.5685256;3.306972;-0.1098603;-0.4056179;3.501132;0.08028658;-0.3695165;3.509303;
0.08214793;-0.5570641;3.297958;-0.109855;-0.4054804;3.501004;0.08032269;-0.3684341;3.510127;
0.0813209;-0.5602403;3.297923;-0.1097281;-0.4054399;3.500981;0.0803417;-0.3684336;3.510145;
0.07613294;-0.5656602;3.306956;-0.1098407;-0.4054358;3.501013;0.08049274;-0.3681081;3.511437;
0.07631928;-0.5672355;3.304319;-0.1098086;-0.4054076;3.500984;0.08054562;-0.367461;3.511517;
0.07512704;-0.5708218;3.307918;-0.1097967;-0.4052066;3.50105;0.08110907;-0.365829;3.512979;
0.07615232;-0.5680841;3.308006;-0.109854;-0.4051412;3.50109;0.08106767;-0.3660913;3.513149;
0.07528932;-0.5717504;3.300726;-0.109798;-0.4050208;3.501082;0.08081893;-0.3676114;3.512748;
0.07309252;-0.5702761;3.321723;-0.1100317;-0.4049821;3.501127;0.080639;-0.3674046;3.512674;
0.07441354;-0.5732588;3.320488;-0.1102301;-0.4046182;3.501232;0.08028491;-0.3679842;3.513311;
0.07701913;-0.569615;3.312132;-0.1103266;-0.4043268;3.501285;0.08014446;-0.3677392;3.513835;
0.07220118;-0.5963669;3.291663;-0.1103529;-0.4043173;3.501323;0.07980665;-0.368157;3.513521;
0.08203436;-0.5763833;3.281195;-0.1103959;-0.4042968;3.501354;0.07955493;-0.3675137;3.513225;
0.08079623;-0.5616822;3.304094;-0.1101857;-0.4047006;3.501471;0.07953433;-0.3684576;3.51272;
0.08071446;-0.5648501;3.304258;-0.1101752;-0.4047053;3.50146;0.0798219;-0.3676651;3.513564;
0.08773614;-0.6093807;3.265922;-0.1100899;-0.4044918;3.501514;0.07957162;-0.3677495;3.513726;
0.08800596;-0.6090767;3.265468;-0.1098666;-0.4056925;3.500972;0.079184;-0.3677634;3.513237;
0.08056715;-0.5639504;3.305218;-0.1099049;-0.4057425;3.501008;0.0790458;-0.368276;3.513521;
0.08076572;-0.5640821;3.30502;-0.1099862;-0.405661;3.500996;0.07911825;-0.368279;3.513466;
0.07726082;-0.5694068;3.307247;-0.1099591;-0.4059385;3.500922;0.07915872;-0.3683051;3.513427;
0.07882231;-0.5704146;3.310316;-0.1098724;-0.4062321;3.501334;0.07918526;-0.36851;3.512136;
0.07824204;-0.5698146;3.310832;-0.1098801;-0.4062105;3.501446;0.07956181;-0.3676467;3.513007;
0.07797039;-0.569692;3.310075;-0.1098127;-0.4063008;3.501408;0.08038407;-0.3694363;3.514379;
0.07816751;-0.56938;3.308267;-0.1098573;-0.4061621;3.501434;0.08023545;-0.369238;3.514914;
0.08236839;-0.6143234;3.270085;-0.110014;-0.4062714;3.501644;0.08045594;-0.3691394;3.514809;
0.08287213;-0.6173833;3.275161;-0.1100244;-0.4062745;3.501715;0.08041149;-0.3686156;3.5154;
0.08184009;-0.6157875;3.27374;-0.1097728;-0.4060729;3.501849;0.08042288;-0.3678658;3.515465;
0.07451604;-0.5717489;3.313388;-0.109876;-0.4058596;3.502031;0.08042844;-0.3680413;3.515535;
0.07911313;-0.5824777;3.284323;-0.1099109;-0.405856;3.502046;0.0799479;-0.3692063;3.513577;
0.07890508;-0.5623834;3.305659;-0.1099356;-0.4058974;3.502028;0.07789134;-0.365563;3.514883;
0.07596813;-0.564925;3.307803;-0.1100659;-0.4057255;3.502129;0.0778844;-0.3655134;3.514719;
0.07633252;-0.5657004;3.308889;-0.1100716;-0.4057325;3.502114;0.07802863;-0.3655035;3.514719;
0.07751769;-0.5648755;3.303969;-0.1101932;-0.4053706;3.502167;0.07809215;-0.3656728;3.514557;
0.07867277;-0.5630306;3.300788;-0.1101991;-0.405432;3.502189;0.07811496;-0.3657283;3.514532;
0.08259856;-0.6086403;3.264206;-0.1102924;-0.4056411;3.502312;0.07760626;-0.367758;3.512341;
0.08197201;-0.6146547;3.270142;-0.110365;-0.4055942;3.502367;0.07755034;-0.3676582;3.512456;
0.07799126;-0.5692545;3.305881;-0.1103637;-0.4054957;3.502403;0.0777406;-0.3674223;3.512609;
0.07862385;-0.5679796;3.303432;-0.1103527;-0.4054506;3.502386;0.07817195;-0.3674826;3.512969;
0.07859638;-0.5660089;3.301173;-0.1103642;-0.4054547;3.502389;0.07805498;-0.3672815;3.512934;
0.07795107;-0.5679212;3.30025;-0.1103847;-0.4054965;3.502332;0.07816144;-0.3678686;3.511025;
0.08357798;-0.5816724;3.28022;-0.1103706;-0.4054915;3.502314;0.07832149;-0.3676665;3.510492;
0.07550447;-0.5853575;3.284405;-0.1106725;-0.4054987;3.502202;0.07874592;-0.365123;3.51207;
0.07900752;-0.6113656;3.269327;-0.110794;-0.4053747;3.5019;0.07961167;-0.3652433;3.511243;
0.07908852;-0.6115649;3.268304;-0.110828;-0.4053335;3.501906;0.07982137;-0.3660108;3.510859;
0.08199383;-0.6079279;3.261749;-0.1108549;-0.405246;3.501859;0.08093555;-0.3695332;3.511086;
0.08027896;-0.5709721;3.279835;-0.1107831;-0.4055136;3.501708;0.08012651;-0.369917;3.509494;
0.08200229;-0.5673894;3.279395;-0.1106904;-0.4052463;3.501784;0.08009437;-0.3697411;3.509499;
0.07734163;-0.5830109;3.280977;-0.1106038;-0.4052761;3.501515;0.08040103;-0.3681281;3.511646;
0.07862467;-0.5653378;3.298264;-0.1106462;-0.4052644;3.501515;0.08063644;-0.3684334;3.511507;
0.07815992;-0.5636473;3.302132;-0.1106397;-0.405226;3.501527;0.07963778;-0.3661936;3.513625;
0.07752855;-0.5668409;3.300801;-0.1107777;-0.4053434;3.501483;0.07944859;-0.3661474;3.513227;
0.08230327;-0.5742012;3.269266;-0.1106877;-0.4055849;3.501315;0.07944728;-0.3661672;3.513207;
0.0814328;-0.5755962;3.271136;-0.1108018;-0.4049101;3.501285;0.07919242;-0.3664581;3.513495;
0.07982865;-0.5827053;3.273086;-0.1108149;-0.4049105;3.501277;0.07897229;-0.3666283;3.51333;
0.07771572;-0.5883228;3.28551;-0.1107757;-0.404707;3.501481;0.07890736;-0.3649858;3.512718;
0.07739016;-0.5857801;3.282686;-0.1110576;-0.4042338;3.501533;0.07838776;-0.3647972;3.511771;
0.07837228;-0.585079;3.280442;-0.1111244;-0.4042645;3.501474;0.07850253;-0.3658431;3.510836;
0.07891331;-0.5838096;3.280758;-0.1111512;-0.4043266;3.501456;0.07858966;-0.3667463;3.510714;
0.07867756;-0.5837787;3.280857;-0.1111162;-0.4042714;3.501439;0.07858034;-0.3667589;3.510655;
0.07999666;-0.5825971;3.279657;-0.1111116;-0.4043256;3.501394;0.07859666;-0.3666173;3.510593;
0.0761878;-0.5680907;3.305119;-0.1113072;-0.4040926;3.501275;0.07831329;-0.3661893;3.510295;
0.07537809;-0.5685779;3.307594;-0.111355;-0.4039795;3.501279;0.07840016;-0.3662553;3.51036;
0.07706904;-0.5677929;3.307288;-0.1111587;-0.404152;3.501227;0.07833169;-0.3653936;3.511077;
0.07714716;-0.5659353;3.298583;-0.1112276;-0.4039804;3.501213;0.07846388;-0.3654772;3.510908;
0.08256651;-0.5762352;3.264256;-0.1112454;-0.4040701;3.501209;0.07831305;-0.3657811;3.510479;
0.07717866;-0.5674776;3.298208;-0.1112137;-0.4040662;3.501214;0.07795313;-0.3654793;3.509415;
