HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;
0.1114042;-0.3577216;3.261795;0.02185889;-0.3289012;3.435278;-0.1741891;-0.4232915;3.439419;
0.184065;-0.3199011;3.271485;0.03738374;-0.3267496;3.440354;-0.1734835;-0.4231179;3.439277;
0.3384959;-0.2344374;3.260742;0.06977344;-0.3164163;3.425714;-0.1718229;-0.4225443;3.438643;
0.3466178;-0.2041013;3.357838;0.07249416;-0.3140334;3.428891;-0.1706758;-0.4217224;3.438041;
0.3473369;-0.18275;3.38202;0.07890306;-0.3124803;3.432305;-0.1695909;-0.4210501;3.437035;
0.3582747;-0.1677745;3.450608;0.08137918;-0.31183;3.438523;-0.1678816;-0.4201825;3.43668;
0.3582687;-0.1633779;3.482185;0.09253829;-0.3109018;3.449386;-0.1646293;-0.4192553;3.434559;
0.3564066;-0.1617353;3.48407;0.09654828;-0.3111103;3.457612;-0.1616337;-0.4176929;3.432951;
0.3536377;-0.1636282;3.483263;0.1019794;-0.3090617;3.467443;-0.1585361;-0.4166996;3.431356;
0.3529652;-0.1644488;3.484656;0.107111;-0.3073904;3.474914;-0.1563141;-0.4157136;3.430712;
0.3601819;-0.1643188;3.482841;0.1083044;-0.3079842;3.484333;-0.1543951;-0.4154806;3.42837;
0.3631213;-0.168536;3.48291;0.1098265;-0.3107733;3.485831;-0.1530322;-0.4160891;3.427294;
0.3692555;-0.1838586;3.4842;0.1084511;-0.3121695;3.485825;-0.151282;-0.4159534;3.427088;
0.3649443;-0.1946784;3.479549;0.1053049;-0.314921;3.483217;-0.1492845;-0.4155734;3.426891;
0.3780965;-0.2132497;3.468706;0.1038246;-0.3160784;3.483979;-0.1476276;-0.4169455;3.426281;
0.4096073;-0.2282183;3.476008;0.09841815;-0.3196617;3.485956;-0.1466464;-0.4165691;3.426379;
0.3704102;-0.2419655;3.451284;0.09594534;-0.3259821;3.485752;-0.1457399;-0.4164661;3.426211;
0.3907678;-0.2568272;3.415992;0.09445152;-0.3267318;3.483871;-0.1453764;-0.4165595;3.42634;
0.3955116;-0.2707072;3.413204;0.09346337;-0.3278386;3.483271;-0.1448426;-0.4167052;3.426463;
0.3681968;-0.2712797;3.411372;0.09285256;-0.3297527;3.483364;-0.1445576;-0.417084;3.426927;
0.3698664;-0.2714911;3.414053;0.09343088;-0.3300629;3.483426;-0.1444799;-0.4170908;3.427216;
0.3733818;-0.2683726;3.419578;0.09302597;-0.3301275;3.483358;-0.1445607;-0.417107;3.428024;
0.3903505;-0.2697955;3.396847;0.09276583;-0.3302917;3.483802;-0.1443146;-0.4174799;3.428423;
0.3901878;-0.2599091;3.405825;0.09236671;-0.3331386;3.484644;-0.1443116;-0.4177739;3.428753;
0.3650854;-0.2470763;3.427494;0.09094331;-0.333204;3.482703;-0.1443954;-0.417891;3.429039;
0.3884673;-0.2436326;3.410374;0.09076697;-0.332834;3.48173;-0.1453488;-0.4183173;3.429759;
0.389317;-0.2436939;3.433321;0.09022222;-0.3279316;3.479472;-0.1475453;-0.418737;3.430827;
0.3488047;-0.2465996;3.386618;0.09049984;-0.3275315;3.477578;-0.1492646;-0.4197472;3.431806;
0.3600883;-0.2429538;3.383936;0.08911075;-0.3210272;3.468031;-0.1516418;-0.4201055;3.432637;
0.3945929;-0.26978;3.381748;0.08719321;-0.3206897;3.46266;-0.1523746;-0.4205066;3.433386;
0.3836961;-0.2857047;3.343001;0.0860924;-0.3224395;3.447918;-0.1539499;-0.4203956;3.434004;
0.3616693;-0.3105772;3.31603;0.08237743;-0.326374;3.438843;-0.1548981;-0.4198937;3.434676;
0.3710167;-0.3343116;3.277846;0.07729663;-0.3262711;3.425592;-0.1566146;-0.4198014;3.435627;
0.2448804;-0.4034494;3.153905;0.06894253;-0.3228872;3.412357;-0.1589999;-0.4194311;3.436309;
0.1986497;-0.4075125;3.126725;0.05722464;-0.3111577;3.396539;-0.1600813;-0.4202051;3.436707;
0.1125627;-0.4134032;3.098184;0.04036199;-0.3154255;3.402518;-0.1613995;-0.4206285;3.437033;
-0.01484606;-0.4216754;3.12072;0.04120581;-0.3148958;3.401936;-0.1623322;-0.4205413;3.437269;
-0.1164403;-0.383593;3.164532;0.03706785;-0.3110753;3.386813;-0.1626265;-0.420754;3.437406;
-0.2420385;-0.3603065;3.168253;0.03857485;-0.3170076;3.375454;-0.163889;-0.4215616;3.437354;
-0.2891458;-0.3242744;3.187501;0.02097845;-0.3097701;3.34909;-0.1641899;-0.4218032;3.437307;
-0.2928746;-0.3298569;3.238433;-0.0122223;-0.2956142;3.323007;-0.1641638;-0.4218128;3.437291;
-0.3557066;-0.2935502;3.264613;-0.05685122;-0.3093596;3.303757;-0.1641814;-0.4222445;3.436782;
-0.399327;-0.2685763;3.298106;-0.05481016;-0.3090656;3.306039;-0.1646169;-0.4228975;3.436331;
-0.3404226;-0.2734896;3.280395;-0.05982406;-0.3115648;3.307598;-0.1648087;-0.4226501;3.435635;
-0.3491797;-0.2708403;3.291234;-0.07331206;-0.3227353;3.30533;-0.1652348;-0.4226515;3.435025;
-0.3562501;-0.2654243;3.293271;-0.07717863;-0.3238693;3.305286;-0.1667389;-0.4219694;3.43265;
-0.3529845;-0.267469;3.295397;-0.08368894;-0.3151803;3.308416;-0.1686352;-0.4221217;3.429752;
-0.3988698;-0.2820075;3.30896;-0.08389647;-0.3153007;3.309247;-0.1699718;-0.4216567;3.42854;
-0.3998744;-0.2855538;3.295278;-0.08273194;-0.3171397;3.308817;-0.1699923;-0.421586;3.427488;
-0.3984337;-0.2867286;3.29485;-0.08128025;-0.3165048;3.309867;-0.1713657;-0.4217128;3.425517;
