HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.1536121;-0.4120725;3.329859;-0.06340934;-0.430467;3.657261;0.14114;-0.3534389;3.63806;
0.1538129;-0.4123969;3.330427;-0.06323107;-0.4302298;3.657278;0.1356164;-0.3507721;3.646425;
0.1540525;-0.4118689;3.328565;-0.06310134;-0.4303621;3.657843;0.1349792;-0.3465735;3.649124;
0.1541684;-0.411739;3.328893;-0.0630665;-0.4305885;3.657706;0.1341192;-0.3444692;3.651442;
0.1541829;-0.4117765;3.328894;-0.06318866;-0.4309408;3.657743;0.1331914;-0.3430704;3.654666;
0.1542355;-0.4118471;3.328837;-0.06334696;-0.4309185;3.657767;0.1258132;-0.3603663;3.6525;
0.1535615;-0.4117078;3.33051;-0.06311069;-0.4311239;3.657245;0.1293889;-0.3383101;3.658453;
0.1537034;-0.4115993;3.3307;-0.06335627;-0.4310862;3.657125;0.1294856;-0.3385117;3.657943;
0.153839;-0.4118558;3.331048;-0.06416986;-0.432124;3.657341;0.1338626;-0.3527375;3.653208;
0.1540369;-0.4118716;3.330974;-0.06386167;-0.4317091;3.657481;0.1520229;-0.3477286;3.618643;
0.1532172;-0.4216802;3.29466;-0.06393743;-0.4324028;3.657386;0.1580648;-0.3560007;3.591685;
0.1535609;-0.4126111;3.33269;-0.06372529;-0.4312031;3.65752;0.1313998;-0.3374858;3.66128;
0.1534984;-0.4125916;3.332649;-0.0638472;-0.4312633;3.657509;0.1280779;-0.3387765;3.656644;
0.1532666;-0.4121117;3.334071;-0.06376422;-0.4314654;3.657431;0.1287206;-0.3386155;3.656403;
0.1545523;-0.4122489;3.330974;-0.06364578;-0.4314951;3.657403;0.1294441;-0.3390066;3.656027;
0.1543039;-0.4117847;3.334202;-0.06364264;-0.4314858;3.657252;0.1289304;-0.3373637;3.655241;
0.1549487;-0.4109019;3.333457;-0.06379388;-0.4316078;3.656971;0.1292298;-0.335693;3.655195;
