Hand.X;Hand.Y;Hand.Z;Ellbogen.X;Ellbogen.Y;Ellbogen.Z;Schulter.X;Schulter.Y;Schulter.Z
0.259818;-0.1708703;3.280078;0.2082143;-0.195808;3.589237;0.1894983;0.02967596;3.663162
0.2610162;-0.1729471;3.286515;0.1795503;-0.2299635;3.562248;0.1902214;0.03002088;3.663976
0.2598218;-0.1735637;3.288025;0.1797622;-0.2299253;3.561764;0.1898685;0.02956456;3.663385
0.259708;-0.1753331;3.294105;0.2202251;-0.1817514;3.599746;0.1899728;0.0297663;3.663364
0.2252259;-0.1563802;3.248772;0.2211519;-0.1817289;3.60247;0.1919619;0.03063493;3.665564
0.2201325;-0.1512188;3.256943;0.2213465;-0.1821961;3.603145;0.1909766;0.03048958;3.664794
0.2230746;-0.1429372;3.261558;0.2211153;-0.1837809;3.603056;0.1902739;0.02999277;3.664139
0.2537238;-0.1754877;3.304784;0.194663;-0.1995878;3.579439;0.1901935;0.03007593;3.664103
0.2844978;-0.1732715;3.213395;0.1949995;-0.2003504;3.581058;0.1901935;0.03004226;3.664102
0.2801514;-0.1724256;3.214214;0.1950249;-0.200543;3.580989;0.1902684;0.03008947;3.664253
0.2519285;-0.1774697;3.318037;0.1916669;-0.2005911;3.573145;0.1915163;0.03035586;3.665532
0.2517744;-0.1771558;3.315988;0.1896581;-0.2162335;3.560283;0.190869;0.02929422;3.663235
0.2511054;-0.1765984;3.308995;0.1943684;-0.1758394;3.567053;0.1909395;0.02920402;3.663176
0.2593465;-0.1751996;3.2735;0.187798;-0.1901395;3.560812;0.1907327;0.02909943;3.662743
0.2515369;-0.1753829;3.310588;0.185266;-0.1943173;3.555603;0.1910175;0.02941151;3.661866
0.2614173;-0.1721194;3.274414;0.1814106;-0.2028001;3.557924;0.1910268;0.02910728;3.661058
0.2562321;-0.172424;3.276216;0.1829048;-0.2036201;3.561531;0.1907774;0.02874203;3.660541
0.2564127;-0.1717563;3.276398;0.1830225;-0.2037551;3.561569;0.1907671;0.02893957;3.660535
0.256008;-0.1733709;3.279368;0.1858788;-0.1905458;3.566679;0.1902084;0.02920463;3.659597
0.2557245;-0.1731912;3.280452;0.1856865;-0.1867961;3.567941;0.18976;0.02820001;3.659236
0.2545272;-0.1741293;3.278738;0.1837745;-0.1982451;3.565276;0.1898152;0.02826319;3.659079
0.2516319;-0.1763102;3.298411;0.1853436;-0.1993791;3.564549;0.1912608;0.02986095;3.660461
0.2575419;-0.1741887;3.275381;0.1805726;-0.2013706;3.559837;0.192944;0.03074221;3.661638
0.2545619;-0.1751627;3.27825;0.1875561;-0.1985555;3.565702;0.1922093;0.03101236;3.661119
0.2530782;-0.176986;3.279882;0.1887339;-0.2015181;3.567883;0.1912489;0.03027326;3.658646
0.25006;-0.1771114;3.279965;0.1931876;-0.1927393;3.570261;0.191249;0.03032451;3.658545
0.2480793;-0.1768308;3.287143;0.1945941;-0.2006288;3.574493;0.1910944;0.03020571;3.658894
0.2479704;-0.1768593;3.287053;0.1940709;-0.1996345;3.573427;0.1913487;0.02948472;3.658561
0.2500695;-0.1761852;3.2837;0.1919895;-0.2030744;3.572906;0.1914595;0.02987011;3.65846
0.2495505;-0.1756766;3.284102;0.1911916;-0.2049135;3.573009;0.1914655;0.02979947;3.658576
0.2496842;-0.1752629;3.282666;0.1870496;-0.2086927;3.570166;0.1902246;0.02897428;3.657403
0.248803;-0.174488;3.290843;0.185191;-0.2049224;3.566803;0.1895444;0.02904268;3.657189
0.2483173;-0.1752264;3.288698;0.2056502;-0.1981624;3.576473;0.1895373;0.02910798;3.657345
0.2479368;-0.1747915;3.295138;0.2069084;-0.1978941;3.577516;0.189538;0.02910124;3.657348
0.2477884;-0.1746123;3.296354;0.2089858;-0.2111517;3.573271;0.1894373;0.02906035;3.657095
0.2477423;-0.1753496;3.298033;0.2092602;-0.2096682;3.574485;0.1871954;0.02856639;3.654839
0.2471121;-0.1757958;3.290165;0.2145905;-0.2017596;3.580038;0.1914492;0.03131158;3.658051
0.2522471;-0.1723675;3.272002;0.1767822;-0.2246364;3.553327;0.1897927;0.03182157;3.656698
0.2525322;-0.1722363;3.271426;0.1754249;-0.2256381;3.552059;0.1866366;0.03039462;3.653996
0.2525086;-0.1721764;3.270952;0.1723877;-0.2282778;3.550122;0.1856252;0.02993304;3.653634
0.247803;-0.1758641;3.289377;0.1724211;-0.2284802;3.550305;0.1852377;0.02951416;3.653249
0.2532507;-0.1720181;3.271465;0.1726176;-0.2286553;3.550367;0.185102;0.02934729;3.653236
0.2535726;-0.1697392;3.272345;0.1730021;-0.2284683;3.55085;0.1853051;0.02923395;3.653183
0.249957;-0.172302;3.285361;0.2047907;-0.183377;3.584241;0.187115;0.03025667;3.655162
0.2494311;-0.175537;3.293354;0.2073181;-0.1864566;3.589848;0.1869189;0.02982922;3.654496
0.249447;-0.175475;3.293102;0.2534695;-0.1514264;3.52594;0.1842546;0.02745682;3.652097
0.24867;-0.1757924;3.291444;0.2065039;-0.1991198;3.587354;0.1842074;0.02738206;3.651806
0.2500516;-0.1761419;3.300547;0.205997;-0.193579;3.587188;0.1824238;0.02601388;3.650808
0.2496855;-0.1758089;3.300048;0.2048631;-0.2031539;3.58223;0.1820538;0.02583545;3.650095
0.2504084;-0.1748078;3.294195;0.2057786;-0.193154;3.586439;0.1819154;0.02597951;3.649975
0.249514;-0.1751198;3.29749;0.2139677;-0.1847805;3.590813;0.182561;0.02649306;3.650126
0.2509123;-0.1745891;3.292447;0.2110201;-0.1848155;3.585702;0.1820079;0.02596214;3.649602
0.2499149;-0.1753991;3.295321;0.2111239;-0.1847739;3.585479;0.1822646;0.02587174;3.649887
0.2364272;-0.1823747;3.250265;0.2053497;-0.1943107;3.576415;0.1814237;0.0262759;3.648987
0.2463478;-0.1804025;3.286468;0.2028782;-0.1847004;3.577587;0.1812446;0.02631984;3.64882
0.2462675;-0.1801106;3.286595;0.2039995;-0.1841574;3.580527;0.1817174;0.02633401;3.64901
0.2461438;-0.1786692;3.285497;0.2034613;-0.1840787;3.580859;0.1796293;0.02656544;3.647369
0.2484875;-0.1745208;3.301727;0.2030938;-0.1818693;3.57772;0.1820469;0.02812671;3.64857
0.2596616;-0.1724194;3.201945;0.2109984;-0.1819214;3.581585;0.181663;0.027831;3.648412
0.2631944;-0.1694985;3.204795;0.2003202;-0.19016;3.573278;0.1815133;0.02789303;3.648437
0.2499126;-0.1717116;3.296509;0.2003289;-0.192325;3.569707;0.1821375;0.02793141;3.648587
0.256168;-0.1761031;3.281037;0.200875;-0.1927358;3.569689;0.1820708;0.02801067;3.648388
0.2677963;-0.2000063;3.229759;0.200603;-0.1933536;3.569564;0.1821558;0.02821471;3.648703
0.2594309;-0.1995192;3.226005;0.2003452;-0.1936378;3.569316;0.1824195;0.02847923;3.648639
0.2525882;-0.1790883;3.270844;0.2006239;-0.1939472;3.56916;0.1825818;0.02876195;3.648569
0.254185;-0.1740195;3.279285;0.2010871;-0.1942121;3.568932;0.1842486;0.03024995;3.650319
0.251884;-0.1763496;3.287861;0.2010642;-0.1950998;3.568744;0.1842467;0.03011263;3.650193
0.2515107;-0.1761673;3.28827;0.2051674;-0.1861939;3.579226;0.1842808;0.03006565;3.650221
0.2509936;-0.1759222;3.288829;0.2071521;-0.1843905;3.579779;0.1838737;0.02989082;3.649474
0.2515389;-0.1763765;3.287951;0.2068333;-0.1845438;3.579709;0.1836735;0.02995098;3.649528
0.2511688;-0.1761013;3.287652;0.2077819;-0.1878747;3.578031;0.1831516;0.02866106;3.647484
0.2345412;-0.1650937;3.244931;0.2127145;-0.1892681;3.587628;0.1833235;0.02880528;3.647571
0.2350049;-0.1706989;3.252803;0.2184383;-0.1878649;3.595185;0.183088;0.02845671;3.647722
0.2283889;-0.163534;3.233781;0.2115574;-0.1808404;3.576473;0.1828212;0.02838338;3.647419
0.2237047;-0.1627587;3.235041;0.208747;-0.1794732;3.572232;0.1828184;0.02839727;3.647424
0.2201611;-0.1622602;3.231819;0.2067386;-0.1795798;3.572499;0.1829622;0.02852892;3.647895
0.2196325;-0.1620419;3.231403;0.206571;-0.179862;3.572747;0.183302;0.02851041;3.647905
0.254229;-0.1757793;3.277754;0.2007655;-0.1805508;3.567497;0.1836505;0.02867675;3.647654
0.2468919;-0.1754325;3.304939;0.19925;-0.1815073;3.566545;0.1832104;0.02864962;3.647293
0.2472081;-0.1749111;3.304833;0.2051926;-0.1834448;3.572137;0.1831861;0.02863723;3.647294
0.2504365;-0.173722;3.283384;0.2101912;-0.1854851;3.575056;0.1830943;0.02856779;3.64702
0.2511776;-0.1719002;3.284199;0.2100169;-0.1857431;3.575571;0.1816397;0.02890163;3.646093
0.2503044;-0.172212;3.290935;0.215182;-0.1857775;3.581033;0.1817063;0.02880608;3.646051
0.2575837;-0.2000427;3.239576;0.2099706;-0.188061;3.576757;0.1812733;0.02872194;3.645951
0.2510048;-0.1728762;3.296478;0.2102363;-0.1870502;3.579287;0.1807777;0.0287184;3.645885
0.2518101;-0.1727333;3.289222;0.2102736;-0.1862453;3.580242;0.1806654;0.02850344;3.646054
0.2505245;-0.1731683;3.297034;0.2107768;-0.1852825;3.580494;0.1807229;0.02830422;3.646746
0.2488077;-0.1710534;3.286593;0.2100254;-0.1839419;3.579747;0.1806017;0.02816647;3.646584
0.2491004;-0.1692671;3.276947;0.2100631;-0.1843524;3.579173;0.18021;0.02847491;3.646528
0.248859;-0.169579;3.277047;0.2118772;-0.1858907;3.578611;0.1802228;0.02847197;3.646552
0.2491852;-0.1694593;3.277943;0.2119305;-0.1860447;3.578619;0.1802128;0.02848543;3.646547
0.2502507;-0.1694116;3.279121;0.2118622;-0.1859187;3.578585;0.1799828;0.02828061;3.646313
0.2486041;-0.1721569;3.297937;0.2100995;-0.1792122;3.57685;0.1798791;0.02864522;3.646408
0.2484562;-0.172281;3.297765;0.2057791;-0.1816179;3.571412;0.1798886;0.02854674;3.646692
0.2491477;-0.1691333;3.280693;0.2030722;-0.1791626;3.571141;0.1798472;0.02861485;3.646697
0.257931;-0.1821634;3.244823;0.2056122;-0.1855592;3.57543;0.1803585;0.02875575;3.647236
0.2495692;-0.1717701;3.275369;0.1984323;-0.1880363;3.567232;0.1788877;0.02811575;3.645968
0.2494072;-0.1716364;3.275349;0.2031455;-0.1837905;3.574905;0.1782514;0.02819272;3.645714
0.2496871;-0.1718959;3.285315;0.2029691;-0.182719;3.575994;0.1780109;0.0280875;3.645314
0.2488578;-0.172414;3.289307;0.2075919;-0.1852261;3.585228;0.1782675;0.02806072;3.645379
0.2475506;-0.1728094;3.292777;0.2079411;-0.1845776;3.584528;0.1784642;0.02795448;3.645484
0.2476449;-0.1726061;3.292872;0.2088235;-0.184489;3.584751;0.1784695;0.0279155;3.645512
0.2479935;-0.1723291;3.294019;0.2106089;-0.1808051;3.581806;0.1784166;0.02793536;3.645478
0.2506623;-0.1711931;3.279164;0.1971444;-0.1934913;3.568007;0.1784896;0.02784815;3.645463
0.2469189;-0.1698683;3.275725;0.196297;-0.1945515;3.568138;0.1786958;0.02779246;3.645555
0.2463561;-0.1723972;3.281017;0.1958563;-0.1945461;3.568043;0.1785768;0.02796751;3.645817
0.2465519;-0.171519;3.278694;0.2071242;-0.1934007;3.57808;0.1788152;0.02723358;3.645284
0.2485945;-0.1620136;3.260925;0.2117028;-0.1900147;3.590996;0.1788106;0.02697626;3.645845
0.2457479;-0.1668397;3.266546;0.2181386;-0.1859366;3.599264;0.1806481;0.02839341;3.647274
0.2481258;-0.1715591;3.283675;0.2187124;-0.183852;3.599656;0.1806456;0.02838667;3.64726
0.2476554;-0.1717744;3.285245;0.2186841;-0.1837971;3.599793;0.1806332;0.02817643;3.646818
0.2449072;-0.1709779;3.268059;0.2198607;-0.1830049;3.601749;0.1801129;0.02781997;3.646244
0.244945;-0.1738179;3.300306;0.2199874;-0.1830378;3.601725;0.1801462;0.02767791;3.645975
